2.026303855	O
2.715646259	k
3.375963719	o
3.989115646	n
4.640362812	O
5.282539683	k
5.917460317	o
6.516099773	n
7.121995465	O
7.121995465	O
7.771428571	k
8.379138322	o
8.946938776	n
9.541950113	O
10.146031746	k
10.768253968	o
11.366893424	n
11.940136054	O
12.527891156	k
13.128344671	o
13.663492063	n
14.289342404	O
14.891609977	k
15.501133787	o
16.074376417	n
16.651609977	O
17.255328798	k
17.864852608	o
18.483083900	n
19.063582766	O
19.664399093	k
20.305850340	o
20.305850340	o
20.897959184	n
21.478458050	O
22.090884354	k
22.691700680	o
23.254784580	n
23.884625850	O
24.497052154	k
25.094965986	o
25.640634921	n
26.929342404	k
27.530158730	o
28.165804989	o
28.694058957	k
29.260045351	k
29.823129252	o
30.400725624	o
30.914467120	k
31.497868481	k
32.040634921	o
32.580498866	o
33.094240363	k
33.625396825	k
34.197188209	o
34.725442177	o
35.305941043	k
36.313106576	k
36.881995465	o
37.372517007	o
37.918185941	k
38.429024943	n
38.960181406	o
39.471020408	o
39.976054422	k
40.483990930	k
41.015147392	o
41.546303855	o
41.987482993	k
42.480907029	n
43.061405896	o
43.569342404	o
44.103401361	k
44.631655329	k
45.162811791	o
45.673650794	O
46.187392290	k
46.730158730	n
47.275827664	o
47.754739229	O
48.251065760	k
48.764807256	k
49.255328798	o
49.777777778	O
50.277006803	k
50.796553288	n
51.269659864	o
51.821133787	O
52.326167800	k
52.839909297	k
53.307210884	o
53.841269841	o
54.363718821	k
54.804897959	n
55.379591837	o
55.861405896	o
56.354829932	k
